"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","160","GetUser","All Test Suite","Wed May 14 13:56:58 IST 2025","passed","Wed May 14 13:56:58 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUser"
"","110","TotalClustersGuard","All Test Suite","Wed May 14 13:57:38 IST 2025","passed","Wed May 14 13:57:38 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","TotalClustersGuard"
"","391","Use","All Test Suite","Wed May 14 13:57:33 IST 2025","passed","Wed May 14 13:57:34 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","Use"
"","1461","clusterTrend","All Test Suite","Tue May 27 12:29:13 IST 2025","passed","Tue May 27 12:29:14 IST 2025","Tests.SacredGroves_Sutra_APIs","C:/Users/hp/IdeaProjects/untitled6","Tests.SacredGroves_Sutra_APIs","clusterTrend"
"","200","updateUserPrivacySettings","All Test Suite","Wed May 14 13:58:12 IST 2025","passed","Wed May 14 13:58:13 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","updateUserPrivacySettings"
"","259","squadClusters","All Test Suite","Wed May 14 13:58:13 IST 2025","passed","Wed May 14 13:58:13 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","squadClusters"
"","624","forestclusterdetails","All Test Suite","Wed May 14 13:58:14 IST 2025","passed","Wed May 14 13:58:15 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","forestclusterdetails"
"","116","getStates","All Test Suite","Wed May 14 13:58:13 IST 2025","passed","Wed May 14 13:58:13 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","getStates"
"","191","BestAQIDetails","All Test Suite","Wed May 14 13:57:37 IST 2025","passed","Wed May 14 13:57:37 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","BestAQIDetails"
"","301","All_forest_details","All Test Suite","Wed May 14 13:57:34 IST 2025","passed","Wed May 14 13:57:35 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","All_forest_details"
"","126","GetUserLevel","All Test Suite","Wed May 14 13:56:56 IST 2025","passed","Wed May 14 13:56:56 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserLevel"
"","492","mapCluster","All Test Suite","Tue May 27 12:29:15 IST 2025","broken","Tue May 27 12:29:16 IST 2025","Tests.SacredGroves_Sutra_APIs","C:/Users/hp/IdeaProjects/untitled6","Tests.SacredGroves_Sutra_APIs","mapCluster"
"","175","GetUserLevels","All Test Suite","Wed May 14 13:56:57 IST 2025","passed","Wed May 14 13:56:57 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserLevels"
"","157","POST","All Test Suite","Tue May 13 18:20:43 IST 2025","passed","Tue May 13 18:20:43 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","332","cluster_ownership_details_by_forest","All Test Suite","Wed May 14 13:57:34 IST 2025","passed","Wed May 14 13:57:34 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","cluster_ownership_details_by_forest"
"","1021","GetUserHistory","All Test Suite","Wed May 14 13:56:57 IST 2025","passed","Wed May 14 13:56:58 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserHistory"
"","299","Used","All Test Suite","Wed May 14 13:57:34 IST 2025","passed","Wed May 14 13:57:34 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","Used"
"","153","GetUserInterests","All Test Suite","Wed May 14 13:56:56 IST 2025","passed","Wed May 14 13:56:56 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserInterests"
"","123","POST","All Test Suite","Tue May 13 18:20:43 IST 2025","passed","Tue May 13 18:20:43 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","262","usersDetails","All Test Suite","Wed May 14 13:57:39 IST 2025","passed","Wed May 14 13:57:39 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","usersDetails"
"","670","Delete_User","All Test Suite","Wed May 14 13:57:00 IST 2025","passed","Wed May 14 13:57:00 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","Delete_User"
"","543","Cards","All Test Suite","Wed May 14 13:57:54 IST 2025","passed","Wed May 14 13:57:54 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","Cards"
"","550","HoldingsLedger","All Test Suite","Wed May 14 13:57:32 IST 2025","passed","Wed May 14 13:57:33 IST 2025","Tests.Cluster_Accounting","C:/Users/hp/IdeaProjects/untitled6","Tests.Cluster_Accounting","HoldingsLedger"
"","350","Users","All Test Suite","Wed May 14 13:57:33 IST 2025","passed","Wed May 14 13:57:33 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","Users"
"","8430","Squads","All Test Suite","Wed May 14 13:57:19 IST 2025","passed","Wed May 14 13:57:27 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","Squads"
"","254","GetUserDetails","All Test Suite","Wed May 14 13:56:55 IST 2025","passed","Wed May 14 13:56:56 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserDetails"
"","975","GetAllUsers","All Test Suite","Wed May 14 13:56:59 IST 2025","passed","Wed May 14 13:57:00 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","GetAllUsers"
"","379","usersDetails","All Test Suite","Wed May 14 13:56:50 IST 2025","passed","Wed May 14 13:56:51 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","usersDetails"
"","0","User","All Test Suite","Wed May 14 11:58:09 IST 2025","failed","Wed May 14 11:58:09 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","User"
"","192","giftingStatus","All Test Suite","Wed May 14 13:57:29 IST 2025","passed","Wed May 14 13:57:29 IST 2025","Tests.Cluster_Accounting","C:/Users/hp/IdeaProjects/untitled6","Tests.Cluster_Accounting","giftingStatus"
"","16291","activities","All Test Suite","Wed May 14 13:57:03 IST 2025","passed","Wed May 14 13:57:19 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","activities"
